Gender,Age  group  (years),Population  estimate  ('000),Current  smokers  (%),Daily  smokers  (%),Occasional  smokers  (%),Former  smokers  (%),Never  smokers  (%),Table_ID,Canada  (%),NL  (%),PE  (%),NS  (%),NB  (%),QC  (%),ON  (%),MB  (%),SK  (%),AB  (%),BC  (%),Age group (years),Population estimate ('000),Zero (%),One time (%),Two to three times (%),Four or more times (%),Switched to vaping  (%),Used nicotine replacement products  (%),Made deal with a friend/family member  (%),Reduced number of cigarettes you smoked  (%),Used a 1-800 quitline or a smokers helpline  (%),Used an internet-based program  (%),Used a smart phone app  (%),Tried to quit smoking on your own  (%),Unnamed: 9,Unnamed: 10,Unnamed: 11,Age group  (years),Any tobacco productFootnote 2  (%),Cigarettes  (%),Cigars  (%),Little cigars or cigarillos  (%),Pipe  (%),Chewing tobacco  (%),Water-pipe w/ tobacco  (%),Vaping  (%),Daily (%),Less than daily but at least once a week (%),Less than weekly but at least once in past month (%),Not at all (%),Vaped e-liquid with nicotine  (%),Vaped e-liquid without nicotine  (%),Vaped e-liquid with unknown nicotine content  (%),Tobacco  (%),Fruit  (%),Candy  (%),Dessert  (%),Mint or Menthol  (%),Flavourless  (%),No usual flavour  (%),Other  (%),Curiosity  (%),Because I enjoy it  (%),To reduce stress  (%),Smoking cessationFootnote 2  (%),To use where smoking is not allowed  (%),To avoid returning to smoking  (%),Social sourcesFootnote 2  (%),Retail sourcesFootnote 3  (%),Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Vaping status,Unnamed: 0,Much less harmful than cigarettes (%),Somewhat less harmful than cigarettes (%),About the same as cigarettes (%),Somewhat more harmful than cigarettes (%),Much more harmful than cigarettes (%),Don't know (%),Daily  (%),Less than daily but at least once a week  (%),Less than weekly but at least once in past month  (%),Not at all  (%),Canada,NL,PE,NS,NB,QC,ON,MB,SK,AB,BC
"[95% confidence intervals in brackets]  Table 8 Note 1  Vaping e-liquid with nicotine and/or without nicotine (i.e. just flavouring). Includes use of e-cigarettes, vape mods, vaporizers and vape pens. Cannabis vaping is excluded.  Return to table 8 note 1 referrer  Table 8 Note *  Moderate sampling variability, interpret with caution.  Return to table 8 note * referrer  Table 8 Note #  High sampling variability - although an estimate may be determined from the table, data should be suppressed.  Return to table 8 note # referrer  Table 8 Note ↑  Rounds up to whole number.  Return to table 8 note ↑ referrer  Table 8 Note↓  Rounds down to whole number.  Return to table 8 note ↓ referrer  Source: Canadian Tobacco and Nicotine Survey, 2019.",,"[95% confidence intervals in brackets]  Table 8 Note 1  Vaping e-liquid with nicotine and/or without nicotine (i.e. just flavouring). Includes use of e-cigarettes, vape mods, vaporizers and vape pens. Cannabis vaping is excluded.  Return to table 8 note 1 referrer  Table 8 Note *  Moderate sampling variability, interpret with caution.  Return to table 8 note * referrer  Table 8 Note #  High sampling variability - although an estimate may be determined from the table, data should be suppressed.  Return to table 8 note # referrer  Table 8 Note ↑  Rounds up to whole number.  Return to table 8 note ↑ referrer  Table 8 Note↓  Rounds down to whole number.  Return to table 8 note ↓ referrer  Source: Canadian Tobacco and Nicotine Survey, 2019.",,,,,,Table_8,,,,,,,,,,,,"[95% confidence intervals in brackets]  Table 8 Note 1  Vaping e-liquid with nicotine and/or without nicotine (i.e. just flavouring). Includes use of e-cigarettes, vape mods, vaporizers and vape pens. Cannabis vaping is excluded.  Return to table 8 note 1 referrer  Table 8 Note *  Moderate sampling variability, interpret with caution.  Return to table 8 note * referrer  Table 8 Note #  High sampling variability - although an estimate may be determined from the table, data should be suppressed.  Return to table 8 note # referrer  Table 8 Note ↑  Rounds up to whole number.  Return to table 8 note ↑ referrer  Table 8 Note↓  Rounds down to whole number.  Return to table 8 note ↓ referrer  Source: Canadian Tobacco and Nicotine Survey, 2019.",,,,,,,,,,,,,,,,"[95% confidence intervals in brackets]  Table 8 Note 1  Vaping e-liquid with nicotine and/or without nicotine (i.e. just flavouring). Includes use of e-cigarettes, vape mods, vaporizers and vape pens. Cannabis vaping is excluded.  Return to table 8 note 1 referrer  Table 8 Note *  Moderate sampling variability, interpret with caution.  Return to table 8 note * referrer  Table 8 Note #  High sampling variability - although an estimate may be determined from the table, data should be suppressed.  Return to table 8 note # referrer  Table 8 Note ↑  Rounds up to whole number.  Return to table 8 note ↑ referrer  Table 8 Note↓  Rounds down to whole number.  Return to table 8 note ↓ referrer  Source: Canadian Tobacco and Nicotine Survey, 2019.",,,,,,,,,,,,,,,,,"[95% confidence intervals in brackets]  Table 8 Note 1  Vaping e-liquid with nicotine and/or without nicotine (i.e. just flavouring). Includes use of e-cigarettes, vape mods, vaporizers and vape pens. Cannabis vaping is excluded.  Return to table 8 note 1 referrer  Table 8 Note *  Moderate sampling variability, interpret with caution.  Return to table 8 note * referrer  Table 8 Note #  High sampling variability - although an estimate may be determined from the table, data should be suppressed.  Return to table 8 note # referrer  Table 8 Note ↑  Rounds up to whole number.  Return to table 8 note ↑ referrer  Table 8 Note↓  Rounds down to whole number.  Return to table 8 note ↓ referrer  Source: Canadian Tobacco and Nicotine Survey, 2019.","[95% confidence intervals in brackets]  Table 8 Note 1  Vaping e-liquid with nicotine and/or without nicotine (i.e. just flavouring). Includes use of e-cigarettes, vape mods, vaporizers and vape pens. Cannabis vaping is excluded.  Return to table 8 note 1 referrer  Table 8 Note *  Moderate sampling variability, interpret with caution.  Return to table 8 note * referrer  Table 8 Note #  High sampling variability - although an estimate may be determined from the table, data should be suppressed.  Return to table 8 note # referrer  Table 8 Note ↑  Rounds up to whole number.  Return to table 8 note ↑ referrer  Table 8 Note↓  Rounds down to whole number.  Return to table 8 note ↓ referrer  Source: Canadian Tobacco and Nicotine Survey, 2019.","[95% confidence intervals in brackets]  Table 8 Note 1  Vaping e-liquid with nicotine and/or without nicotine (i.e. just flavouring). Includes use of e-cigarettes, vape mods, vaporizers and vape pens. Cannabis vaping is excluded.  Return to table 8 note 1 referrer  Table 8 Note *  Moderate sampling variability, interpret with caution.  Return to table 8 note * referrer  Table 8 Note #  High sampling variability - although an estimate may be determined from the table, data should be suppressed.  Return to table 8 note # referrer  Table 8 Note ↑  Rounds up to whole number.  Return to table 8 note ↑ referrer  Table 8 Note↓  Rounds down to whole number.  Return to table 8 note ↓ referrer  Source: Canadian Tobacco and Nicotine Survey, 2019.","[95% confidence intervals in brackets]  Table 8 Note 1  Vaping e-liquid with nicotine and/or without nicotine (i.e. just flavouring). Includes use of e-cigarettes, vape mods, vaporizers and vape pens. Cannabis vaping is excluded.  Return to table 8 note 1 referrer  Table 8 Note *  Moderate sampling variability, interpret with caution.  Return to table 8 note * referrer  Table 8 Note #  High sampling variability - although an estimate may be determined from the table, data should be suppressed.  Return to table 8 note # referrer  Table 8 Note ↑  Rounds up to whole number.  Return to table 8 note ↑ referrer  Table 8 Note↓  Rounds down to whole number.  Return to table 8 note ↓ referrer  Source: Canadian Tobacco and Nicotine Survey, 2019.","[95% confidence intervals in brackets]  Table 8 Note 1  Vaping e-liquid with nicotine and/or without nicotine (i.e. just flavouring). Includes use of e-cigarettes, vape mods, vaporizers and vape pens. Cannabis vaping is excluded.  Return to table 8 note 1 referrer  Table 8 Note *  Moderate sampling variability, interpret with caution.  Return to table 8 note * referrer  Table 8 Note #  High sampling variability - although an estimate may be determined from the table, data should be suppressed.  Return to table 8 note # referrer  Table 8 Note ↑  Rounds up to whole number.  Return to table 8 note ↑ referrer  Table 8 Note↓  Rounds down to whole number.  Return to table 8 note ↓ referrer  Source: Canadian Tobacco and Nicotine Survey, 2019.","[95% confidence intervals in brackets]  Table 8 Note 1  Vaping e-liquid with nicotine and/or without nicotine (i.e. just flavouring). Includes use of e-cigarettes, vape mods, vaporizers and vape pens. Cannabis vaping is excluded.  Return to table 8 note 1 referrer  Table 8 Note *  Moderate sampling variability, interpret with caution.  Return to table 8 note * referrer  Table 8 Note #  High sampling variability - although an estimate may be determined from the table, data should be suppressed.  Return to table 8 note # referrer  Table 8 Note ↑  Rounds up to whole number.  Return to table 8 note ↑ referrer  Table 8 Note↓  Rounds down to whole number.  Return to table 8 note ↓ referrer  Source: Canadian Tobacco and Nicotine Survey, 2019.","[95% confidence intervals in brackets]  Table 8 Note 1  Vaping e-liquid with nicotine and/or without nicotine (i.e. just flavouring). Includes use of e-cigarettes, vape mods, vaporizers and vape pens. Cannabis vaping is excluded.  Return to table 8 note 1 referrer  Table 8 Note *  Moderate sampling variability, interpret with caution.  Return to table 8 note * referrer  Table 8 Note #  High sampling variability - although an estimate may be determined from the table, data should be suppressed.  Return to table 8 note # referrer  Table 8 Note ↑  Rounds up to whole number.  Return to table 8 note ↑ referrer  Table 8 Note↓  Rounds down to whole number.  Return to table 8 note ↓ referrer  Source: Canadian Tobacco and Nicotine Survey, 2019.","[95% confidence intervals in brackets]  Table 8 Note 1  Vaping e-liquid with nicotine and/or without nicotine (i.e. just flavouring). Includes use of e-cigarettes, vape mods, vaporizers and vape pens. Cannabis vaping is excluded.  Return to table 8 note 1 referrer  Table 8 Note *  Moderate sampling variability, interpret with caution.  Return to table 8 note * referrer  Table 8 Note #  High sampling variability - although an estimate may be determined from the table, data should be suppressed.  Return to table 8 note # referrer  Table 8 Note ↑  Rounds up to whole number.  Return to table 8 note ↑ referrer  Table 8 Note↓  Rounds down to whole number.  Return to table 8 note ↓ referrer  Source: Canadian Tobacco and Nicotine Survey, 2019.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All Genders,,1460,,,,,,Table_9,,,,,,,,,,,,All age  groups,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.1  [6.2-12.0],19.6  [15.2-23.9],19.5Footnote ↑  [14.3-24.7],13.3  [9.9-16.8],27.1  [21.6-32.5],Footnote #,10.1Footnote *  [6.7-13.5],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Men,,885,,,,,,Table_9,,,,,,,,,,,,All age  groups,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.9Footnote *  [6.8-15.1],16.7Footnote *  [10.9-22.4],24.8  [17.0-32.5],10.6Footnote *  [6.3-14.8],25.6  [18.7-32.5],Footnote #,10.5↓Footnote *  [6.0-15.0],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Women,,564,,,,,,Table_9,,,,,,,,,,,,All age  groups,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Footnote #,24.3  [17.8-30.9],Footnote #,17.8Footnote *  [11.9-23.6],29.7  [20.7-38.8],Footnote #,Footnote #,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All  Genders,,424,,,,,,Table_9,,,,,,,,,,,,15-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Footnote #,29.5Footnote ↓  [22.4-36.5],29.0  [21.9-36.1],21.2  [14.7-27.7],Footnote #,Footnote #,Footnote #,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All  Genders,,275,,,,,,Table_9,,,,,,,,,,,,20-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Footnote #,27.1  [19.0-35.1],Footnote #,Footnote #,19.8Footnote *  [12.6-27.0],Footnote #,Footnote #,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All  Genders,,761,,,,,,Table_9,,,,,,,,,,,,25+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Footnote #,Footnote #,Footnote #,Footnote #,41.0  [31.5-50.5],Footnote #,15.3Footnote *  [9.2-21.4],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All  Genders,,499,,,,,,Table_9,,,,,,,,,,,,25-44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Footnote #,Footnote #,Footnote #,Footnote #,34.4Footnote *  [22.1-46.7],Footnote #,Footnote #,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
All  Genders,,262,,,,,,Table_9,,,,,,,,,,,,45+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Footnote #,Footnote #,Footnote #,Footnote #,53.5Footnote ↑ [40.5-66.5],Footnote #,Footnote #,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"[95% confidence intervals in brackets]  Table 9 Note 1  Vaping e-liquid with nicotine and/or without nicotine (i.e. just flavouring). Includes use of e-cigarettes, vape mods, vaporizers and vape pens. Cannabis vaping is excluded.  Return to table 9 note 1 referrer  Table 9 Note 2  Smoking cessation includes respondents who responded yes to either ""to quit smoking cigarettes"" or ""to cut down on smoking cigarettes"" for their main reason for vaping.  Return to table 9 note 2 referrer Table 9 Note *  Moderate sampling variability, interpret with caution.  Return to table 9 note * referrer Table 9 Note #  High sampling variability - although an estimate may be determined from the table, data should be suppressed.  Return to table 9 note # referrer Table 9 Note ↑  Rounds up to whole number.  Return to table 9 note ↑ referrer Table 9 Note↓  Rounds down to whole number.  Return to table 9 note ↓ referrer Source: Canadian Tobacco and Nicotine Survey, 2019.",,"[95% confidence intervals in brackets]  Table 9 Note 1  Vaping e-liquid with nicotine and/or without nicotine (i.e. just flavouring). Includes use of e-cigarettes, vape mods, vaporizers and vape pens. Cannabis vaping is excluded.  Return to table 9 note 1 referrer  Table 9 Note 2  Smoking cessation includes respondents who responded yes to either ""to quit smoking cigarettes"" or ""to cut down on smoking cigarettes"" for their main reason for vaping.  Return to table 9 note 2 referrer Table 9 Note *  Moderate sampling variability, interpret with caution.  Return to table 9 note * referrer Table 9 Note #  High sampling variability - although an estimate may be determined from the table, data should be suppressed.  Return to table 9 note # referrer Table 9 Note ↑  Rounds up to whole number.  Return to table 9 note ↑ referrer Table 9 Note↓  Rounds down to whole number.  Return to table 9 note ↓ referrer Source: Canadian Tobacco and Nicotine Survey, 2019.",,,,,,Table_9,,,,,,,,,,,,"[95% confidence intervals in brackets]  Table 9 Note 1  Vaping e-liquid with nicotine and/or without nicotine (i.e. just flavouring). Includes use of e-cigarettes, vape mods, vaporizers and vape pens. Cannabis vaping is excluded.  Return to table 9 note 1 referrer  Table 9 Note 2  Smoking cessation includes respondents who responded yes to either ""to quit smoking cigarettes"" or ""to cut down on smoking cigarettes"" for their main reason for vaping.  Return to table 9 note 2 referrer Table 9 Note *  Moderate sampling variability, interpret with caution.  Return to table 9 note * referrer Table 9 Note #  High sampling variability - although an estimate may be determined from the table, data should be suppressed.  Return to table 9 note # referrer Table 9 Note ↑  Rounds up to whole number.  Return to table 9 note ↑ referrer Table 9 Note↓  Rounds down to whole number.  Return to table 9 note ↓ referrer Source: Canadian Tobacco and Nicotine Survey, 2019.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"[95% confidence intervals in brackets]  Table 9 Note 1  Vaping e-liquid with nicotine and/or without nicotine (i.e. just flavouring). Includes use of e-cigarettes, vape mods, vaporizers and vape pens. Cannabis vaping is excluded.  Return to table 9 note 1 referrer  Table 9 Note 2  Smoking cessation includes respondents who responded yes to either ""to quit smoking cigarettes"" or ""to cut down on smoking cigarettes"" for their main reason for vaping.  Return to table 9 note 2 referrer Table 9 Note *  Moderate sampling variability, interpret with caution.  Return to table 9 note * referrer Table 9 Note #  High sampling variability - although an estimate may be determined from the table, data should be suppressed.  Return to table 9 note # referrer Table 9 Note ↑  Rounds up to whole number.  Return to table 9 note ↑ referrer Table 9 Note↓  Rounds down to whole number.  Return to table 9 note ↓ referrer Source: Canadian Tobacco and Nicotine Survey, 2019.","[95% confidence intervals in brackets]  Table 9 Note 1  Vaping e-liquid with nicotine and/or without nicotine (i.e. just flavouring). Includes use of e-cigarettes, vape mods, vaporizers and vape pens. Cannabis vaping is excluded.  Return to table 9 note 1 referrer  Table 9 Note 2  Smoking cessation includes respondents who responded yes to either ""to quit smoking cigarettes"" or ""to cut down on smoking cigarettes"" for their main reason for vaping.  Return to table 9 note 2 referrer Table 9 Note *  Moderate sampling variability, interpret with caution.  Return to table 9 note * referrer Table 9 Note #  High sampling variability - although an estimate may be determined from the table, data should be suppressed.  Return to table 9 note # referrer Table 9 Note ↑  Rounds up to whole number.  Return to table 9 note ↑ referrer Table 9 Note↓  Rounds down to whole number.  Return to table 9 note ↓ referrer Source: Canadian Tobacco and Nicotine Survey, 2019.","[95% confidence intervals in brackets]  Table 9 Note 1  Vaping e-liquid with nicotine and/or without nicotine (i.e. just flavouring). Includes use of e-cigarettes, vape mods, vaporizers and vape pens. Cannabis vaping is excluded.  Return to table 9 note 1 referrer  Table 9 Note 2  Smoking cessation includes respondents who responded yes to either ""to quit smoking cigarettes"" or ""to cut down on smoking cigarettes"" for their main reason for vaping.  Return to table 9 note 2 referrer Table 9 Note *  Moderate sampling variability, interpret with caution.  Return to table 9 note * referrer Table 9 Note #  High sampling variability - although an estimate may be determined from the table, data should be suppressed.  Return to table 9 note # referrer Table 9 Note ↑  Rounds up to whole number.  Return to table 9 note ↑ referrer Table 9 Note↓  Rounds down to whole number.  Return to table 9 note ↓ referrer Source: Canadian Tobacco and Nicotine Survey, 2019.","[95% confidence intervals in brackets]  Table 9 Note 1  Vaping e-liquid with nicotine and/or without nicotine (i.e. just flavouring). Includes use of e-cigarettes, vape mods, vaporizers and vape pens. Cannabis vaping is excluded.  Return to table 9 note 1 referrer  Table 9 Note 2  Smoking cessation includes respondents who responded yes to either ""to quit smoking cigarettes"" or ""to cut down on smoking cigarettes"" for their main reason for vaping.  Return to table 9 note 2 referrer Table 9 Note *  Moderate sampling variability, interpret with caution.  Return to table 9 note * referrer Table 9 Note #  High sampling variability - although an estimate may be determined from the table, data should be suppressed.  Return to table 9 note # referrer Table 9 Note ↑  Rounds up to whole number.  Return to table 9 note ↑ referrer Table 9 Note↓  Rounds down to whole number.  Return to table 9 note ↓ referrer Source: Canadian Tobacco and Nicotine Survey, 2019.","[95% confidence intervals in brackets]  Table 9 Note 1  Vaping e-liquid with nicotine and/or without nicotine (i.e. just flavouring). Includes use of e-cigarettes, vape mods, vaporizers and vape pens. Cannabis vaping is excluded.  Return to table 9 note 1 referrer  Table 9 Note 2  Smoking cessation includes respondents who responded yes to either ""to quit smoking cigarettes"" or ""to cut down on smoking cigarettes"" for their main reason for vaping.  Return to table 9 note 2 referrer Table 9 Note *  Moderate sampling variability, interpret with caution.  Return to table 9 note * referrer Table 9 Note #  High sampling variability - although an estimate may be determined from the table, data should be suppressed.  Return to table 9 note # referrer Table 9 Note ↑  Rounds up to whole number.  Return to table 9 note ↑ referrer Table 9 Note↓  Rounds down to whole number.  Return to table 9 note ↓ referrer Source: Canadian Tobacco and Nicotine Survey, 2019.","[95% confidence intervals in brackets]  Table 9 Note 1  Vaping e-liquid with nicotine and/or without nicotine (i.e. just flavouring). Includes use of e-cigarettes, vape mods, vaporizers and vape pens. Cannabis vaping is excluded.  Return to table 9 note 1 referrer  Table 9 Note 2  Smoking cessation includes respondents who responded yes to either ""to quit smoking cigarettes"" or ""to cut down on smoking cigarettes"" for their main reason for vaping.  Return to table 9 note 2 referrer Table 9 Note *  Moderate sampling variability, interpret with caution.  Return to table 9 note * referrer Table 9 Note #  High sampling variability - although an estimate may be determined from the table, data should be suppressed.  Return to table 9 note # referrer Table 9 Note ↑  Rounds up to whole number.  Return to table 9 note ↑ referrer Table 9 Note↓  Rounds down to whole number.  Return to table 9 note ↓ referrer Source: Canadian Tobacco and Nicotine Survey, 2019.","[95% confidence intervals in brackets]  Table 9 Note 1  Vaping e-liquid with nicotine and/or without nicotine (i.e. just flavouring). Includes use of e-cigarettes, vape mods, vaporizers and vape pens. Cannabis vaping is excluded.  Return to table 9 note 1 referrer  Table 9 Note 2  Smoking cessation includes respondents who responded yes to either ""to quit smoking cigarettes"" or ""to cut down on smoking cigarettes"" for their main reason for vaping.  Return to table 9 note 2 referrer Table 9 Note *  Moderate sampling variability, interpret with caution.  Return to table 9 note * referrer Table 9 Note #  High sampling variability - although an estimate may be determined from the table, data should be suppressed.  Return to table 9 note # referrer Table 9 Note ↑  Rounds up to whole number.  Return to table 9 note ↑ referrer Table 9 Note↓  Rounds down to whole number.  Return to table 9 note ↓ referrer Source: Canadian Tobacco and Nicotine Survey, 2019.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Table_10,,,,,,,,,,,,Vaping Devices,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vaping Devices,Vaping Devices,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Table_10,,,,,,,,,,,,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.5Footnote ↓ [25.1-35.9],69.4 [64.3-74.4],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Table_10,,,,,,,,,,,,15-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.5Footnote ↓ [49.3-65.6],42.9 [34.8-50.9],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Table_10,,,,,,,,,,,,20-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26.1 [18.3-34.0],67.6 [59.4-75.7],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Table_10,,,,,,,,,,,,25+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Footnote #,84.8 [77.8-91.8],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Table_10,,,,,,,,,,,,25-44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Footnote #,81.5Footnote ↑ [71.3-91.8],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Table_10,,,,,,,,,,,,45+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Footnote #,91.1 [85.0-97.2],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Table_10,,,,,,,,,,,,Vaping Liquids,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vaping Liquids,Vaping Liquids,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Table_10,,,,,,,,,,,,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.5Footnote ↓ [25.1-35.8],69.5Footnote ↓ [64.5-74.5],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Table_10,,,,,,,,,,,,15-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57.1 [49.1-65.1],40.3 [32.5-48.2],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Table_10,,,,,,,,,,,,20-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.0 [18.9-35.1],69.3 [61.1-77.6],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Table_10,,,,,,,,,,,,25+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Footnote #,86.0 [79.2-92.8],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Table_10,,,,,,,,,,,,25-44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Footnote #,83.3 [73.5-93.1],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,Table_10,,,,,,,,,,,,45+,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Footnote #,91.2 [85.0-97.5],,,,,,,,,,,,,,,,,,,,,,,,,,,,,
